PROT1	PROT2	RANK_MAJOR	RANK_MINOR	TYPE	PDB_ID	BIO_UNIT	CHAIN1	MODEL1	SEQ_IDENT1	COVERAGE1	SEQ_BEGIN1	SEQ_END1	DOMAIN1	CHAIN2	MODEL2	SEQ_IDENT2	COVERAGE2	SEQ_BEGIN2	SEQ_END2	DOMAIN2	FILENAME
P08621	Q07955	1	0	Dom_dom_model	5ifm	-	E	-	25.4	15.8	105	174	RRM_1	F	-	31.4	27.4	18	85	RRM_1	P08621-Q07955-MDD-RRM_1-RRM_1-5ifm-E-76-140-F-76-140.pdb
P08621	Q15287	1	0	Dom_dom_model	5ifm	-	J	-	25.4	15.8	105	174	RRM_1	I	-	20.8	22.0	165	233	RRM_1	P08621-Q15287-MDD-RRM_1-RRM_1-5ifm-J-76-140-I-76-140.pdb
P08621	Q92879	1	0	Dom_dom_model	5kw6	-	B	-	28.6	15.8	105	174	RRM_1	A	-	32.9	14.2	403	472	RRM_1	P08621-Q92879-MDD-RRM_1-RRM_1-5kw6-B-228-298-A-228-298.pdb
P08631	P08631	1	0	Structure	5zj6	1	B	0	100.0	51.3	249	518	-	A	0	100.0	51.5	248	518	-	P08631-P08631-EXP-5zj6.pdb1-B-0-A-0.pdb
P08631	P10721	1	0	Model	6itt	1	B	0	41.1	50.6	247	512	-	A	0	81.4	37.9	563	932	-	P08631-P10721-MDL-6itt.pdb1-B-0-A-0.pdb
P08631	P17948	1	0	Model	3g0f	1	A	0	41.7	50.6	247	512	-	B	0	48.7	25.5	812	1152	-	P08631-P17948-MDL-3g0f.pdb1-A-0-B-0.pdb
P08631	P19174	1	0	Model	4u17	1	A	0	63.6	18.8	143	241	-	C	0	34.7	7.4	546	641	-	P08631-P19174-MDL-4u17.pdb1-A-0-C-0.pdb
P08631	P21860	1	0	Model	3kex	2	B	1	33.1	46.4	262	505	-	A	0	98.3	22.1	698	994	-	P08631-P21860-MDL-3kex.pdb2-B-1-A-0.pdb
P08631	P42338	1	0	Dom_dom_model	4l1b	-	B	-	31.0	14.6	144	226	SH2	A	-	50.3	16.4	532	708	PI3Ka	P08631-P42338-MDD-SH2-PI3Ka-4l1b-B-333-408-A-501-704.pdb
P08631	P42684	1	0	Model	2hck	1	B	0	97.8	85.2	79	526	-	A	0	43.1	36.6	111	543	-	P08631-P42684-MDL-2hck.pdb1-B-0-A-0.pdb
P08631	P46109	1	0	Model	5cdw	5	O	0	36.0	16.9	139	227	-	P	0	32.5	25.1	14	89	-	P08631-P46109-MDL-5cdw.pdb5-O-0-P-0.pdb
P08631	Q05397	1	0	Model	5zj6	1	A	0	100.0	51.5	248	518	-	B	0	41.8	24.9	415	676	-	P08631-Q05397-MDL-5zj6.pdb1-A-0-B-0.pdb
P08631	Q14449	1	0	Model	3us4	2	A	1	33.3	19.4	139	240	-	A	0	40.0	17.4	438	531	-	P08631-Q14449-MDL-3us4.pdb2-A-1-A-0.pdb
P08631	Q8IZP0	1	0	Model	6a9c	1	A	0	44.4	10.3	83	136	-	B	0	43.9	11.2	448	504	-	P08631-Q8IZP0-MDL-6a9c.pdb1-A-0-B-0.pdb
P08631	Q8N5V2	1	0	Model	6a9c	1	A	0	44.4	10.3	83	136	-	B	0	46.6	8.2	615	672	-	P08631-Q8N5V2-MDL-6a9c.pdb1-A-0-B-0.pdb
P08631	Q92569	1	0	Model	2h46	2	E	6	36.0	16.9	139	227	-	E	3	37.0	19.5	358	447	-	P08631-Q92569-MDL-2h46.pdb2-E-6-E-3.pdb
P08631	Q9ULH1	1	0	Dom_dom_model	3fj5	-	A	-	50.0	8.9	84	130	SH3_1	B	-	24.5	4.2	1074	1121	SH3_1	P08631-Q9ULH1-MDD-SH3_1-SH3_1-3fj5-A-87-134-B-87-134.pdb
P08631	Q9Y4K4	1	0	Dom_dom_model	5ar3	-	B	-	21.7	46.2	266	508	Pkinase_Tyr	A	-	20.3	28.7	24	272	Pkinase	P08631-Q9Y4K4-MDD-Pkinase_Tyr-Pkinase-5ar3-B-18-290-A-18-289.pdb
P08637	P0DOX5	1	0	Structure	3sgj	1	C	0	97.6	66.5	24	192	-	A	0	100.0	48.8	228	446	-	P08637-P0DOX5-EXP-3sgj.pdb1-C-0-A-0.pdb
P08637	P12314	1	0	Model	1fcg	1	A	0	51.5	65.7	24	190	-	A	1	46.4	44.4	21	186	-	P08637-P12314-MDL-1fcg.pdb1-A-0-A-1.pdb
P08670	P08670	1	0	Structure	4ypc	1	A	1	100.0	17.8	161	243	-	A	2	100.0	17.8	161	243	-	P08670-P08670-EXP-4ypc.pdb1-A-1-A-2.pdb
P08670	P14136	1	0	Model	6a9p	1	A	0	61.2	22.1	144	246	-	B	0	100.0	23.8	110	212	-	P08670-P14136-MDL-6a9p.pdb1-A-0-B-0.pdb
P08670	P17661	1	0	Model	3uf1	1	B	0	97.2	22.7	144	249	-	A	0	69.2	22.1	151	254	-	P08670-P17661-MDL-3uf1.pdb1-B-0-A-0.pdb
P08670	P35900	1	0	Model	6jfv	2	D	0	41.8	21.0	309	406	-	C	0	69.6	21.7	285	376	-	P08670-P35900-MDL-6jfv.pdb2-D-0-C-0.pdb
P08670	P41219	1	0	Model	3uf1	2	D	0	97.1	22.5	144	248	-	C	0	55.3	21.9	138	240	-	P08670-P41219-MDL-3uf1.pdb2-D-0-C-0.pdb
P08670	P48681	1	0	Dom_dom_model	3uf1	-	D	-	93.6	23.0	142	248	Filament	C	-	31.8	6.5	47	152	Filament	P08670-P48681-MDD-Filament-Filament-3uf1-D-137-248-C-138-246.pdb
P08670	Q13426	1	0	Model	6abo	1	B	1	34.3	14.4	338	404	-	A	0	100.0	63.4	1	213	-	P08670-Q13426-MDL-6abo.pdb1-B-1-A-0.pdb
P08684	P08684	1	0	Structure	5vcc	2	A	1	97.6	93.0	29	496	-	A	2	97.6	93.0	29	496	-	P08684-P08684-EXP-5vcc.pdb2-A-1-A-2.pdb
P08700	P26951	1	0	Structure	5uwc	1	I	0	98.2	73.7	31	142	-	G	0	94.4	70.6	27	293	-	P08700-P26951-EXP-5uwc.pdb1-I-0-G-0.pdb
P08700	P32927	1	0	Structure	6nmy	1	J	0	99.1	71.1	32	139	-	A	0	100.0	24.0	25	239	-	P08700-P32927-EXP-6nmy.pdb1-J-0-A-0.pdb
P08708	P08865	1	0	Structure	6g5i	1	R	0	100.0	90.4	2	123	-	A	0	100.0	73.2	2	217	-	P08708-P08865-EXP-6g5i.pdb1-R-0-A-0.pdb
P08708	P23396	1	0	Structure	6g5i	1	R	0	100.0	90.4	2	123	-	D	0	100.0	92.6	3	227	-	P08708-P23396-EXP-6g5i.pdb1-R-0-D-0.pdb
P08708	P61247	1	0	Structure	6p4g	1	S	0	100.0	97.8	2	133	-	C	0	100.0	80.7	21	233	-	P08708-P61247-EXP-6p4g.pdb1-S-0-C-0.pdb
P08708	P63244	1	0	Structure	6p4g	1	S	0	100.0	97.8	2	133	-	h	0	100.0	98.7	2	314	-	P08708-P63244-EXP-6p4g.pdb1-S-0-h-0.pdb
P08708	Q9ULX3	1	0	Structure	6g5i	1	R	0	100.0	90.4	2	123	-	y	0	78.1	98.5	7	412	-	P08708-Q9ULX3-EXP-6g5i.pdb1-R-0-y-0.pdb
P08709	P08709	1	0	Structure	6r2w	1	L	0	93.0	30.7	61	203	-	H	0	95.3	54.5	213	466	-	P08709-P08709-EXP-6r2w.pdb1-L-0-H-0.pdb
P08709	P13726	1	0	Structure	6r2w	1	H	0	95.3	54.5	213	466	-	T	0	100.0	71.2	33	242	-	P08709-P13726-EXP-6r2w.pdb1-H-0-T-0.pdb
P08709	Q8NBL1	1	0	Structure	5l0s	1	B	0	100.0	8.4	107	145	-	A	0	100.0	90.8	30	385	-	P08709-Q8NBL1-EXP-5l0s.pdb1-B-0-A-0.pdb
P08727	P08727	1	0	Model	6e2j	2	B	0	74.3	25.2	126	226	-	B	1	74.3	25.2	126	226	-	P08727-P08727-MDL-6e2j.pdb2-B-0-B-1.pdb
P08727	P12035	1	0	Model	6e2j	2	B	2	74.3	25.2	126	226	-	A	0	68.9	16.9	246	351	-	P08727-P12035-MDL-6e2j.pdb2-B-2-A-0.pdb
P08727	P13647	1	0	Model	6e2j	2	B	1	74.3	25.2	126	226	-	A	1	66.0	18.0	214	319	-	P08727-P13647-MDL-6e2j.pdb2-B-1-A-1.pdb
P08727	P14136	1	0	Model	6a9p	1	A	0	38.8	24.0	130	225	-	B	0	100.0	23.8	110	212	-	P08727-P14136-MDL-6a9p.pdb1-A-0-B-0.pdb
P08727	P19012	1	0	Model	6e2j	2	B	1	74.3	25.2	126	226	-	B	3	75.0	21.9	152	251	-	P08727-P19012-MDL-6e2j.pdb2-B-1-B-3.pdb
P08727	P19013	1	0	Model	6e2j	1	B	1	74.3	25.2	126	226	-	A	0	62.3	20.4	183	288	-	P08727-P19013-MDL-6e2j.pdb1-B-1-A-0.pdb
P08727	P35908	1	0	Model	6uui	1	X	0	58.9	26.8	281	387	-	C	0	80.4	16.7	381	487	-	P08727-P35908-MDL-6uui.pdb1-X-0-C-0.pdb
P08727	P41219	1	0	Model	6uui	1	X	0	58.9	26.8	281	387	-	C	0	41.5	22.6	298	403	-	P08727-P41219-MDL-6uui.pdb1-X-0-C-0.pdb
P08727	P48668	1	0	Model	6e2j	1	B	0	74.3	25.2	126	226	-	A	0	72.6	18.8	209	314	-	P08727-P48668-MDL-6e2j.pdb1-B-0-A-0.pdb
P08727	P78385	1	0	Model	6e2j	2	B	0	74.3	25.2	126	226	-	A	0	50.0	21.5	155	260	-	P08727-P78385-MDL-6e2j.pdb2-B-0-A-0.pdb
P08727	P78386	1	0	Model	6e2j	2	B	1	74.3	25.2	126	226	-	A	3	47.2	20.9	167	272	-	P08727-P78386-MDL-6e2j.pdb2-B-1-A-3.pdb
P08727	Q14533	1	0	Model	6e2j	1	B	0	74.3	25.2	126	226	-	A	0	50.9	21.0	150	255	-	P08727-Q14533-MDL-6e2j.pdb1-B-0-A-0.pdb
P08727	Q14CN4	1	0	Model	6e2j	2	B	1	74.3	25.2	126	226	-	A	1	59.4	20.7	171	276	-	P08727-Q14CN4-MDL-6e2j.pdb2-B-1-A-1.pdb
P08727	Q3SY84	1	0	Model	6uui	1	X	0	58.9	26.8	281	387	-	C	0	72.6	20.3	334	439	-	P08727-Q3SY84-MDL-6uui.pdb1-X-0-C-0.pdb
P08727	Q5XKE5	1	0	Model	6e2j	1	B	0	74.3	25.2	126	226	-	A	1	61.3	19.8	190	295	-	P08727-Q5XKE5-MDL-6e2j.pdb1-B-0-A-1.pdb
P08727	Q6KB66	1	0	Model	4zry	1	A	1	58.2	27.5	278	387	-	B	1	59.2	22.8	288	390	-	P08727-Q6KB66-MDL-4zry.pdb1-A-1-B-1.pdb
P08727	Q7RTS7	1	0	Model	6e2j	2	B	0	74.3	25.2	126	226	-	A	0	58.5	20.0	186	291	-	P08727-Q7RTS7-MDL-6e2j.pdb2-B-0-A-0.pdb
P08727	Q7Z794	1	0	Model	6e2j	2	B	0	74.3	25.2	126	226	-	A	0	57.5	18.3	210	315	-	P08727-Q7Z794-MDL-6e2j.pdb2-B-0-A-0.pdb
P08727	Q8N1N4	1	0	Model	4zry	1	A	1	58.2	27.5	278	387	-	B	1	61.2	19.8	318	420	-	P08727-Q8N1N4-MDL-4zry.pdb1-A-1-B-1.pdb
P08754	P41220	1	0	Structure	2v4z	1	A	0	100.0	89.3	32	347	-	B	0	93.0	60.7	72	199	-	P08754-P41220-EXP-2v4z.pdb1-A-0-B-0.pdb
P08754	P49795	1	0	Model	2ode	1	A	0	100.0	89.3	33	348	-	B	0	48.8	59.4	80	208	-	P08754-P49795-MDL-2ode.pdb1-A-0-B-0.pdb
P08754	P57771	1	0	Structure	2ode	1	A	0	100.0	89.3	33	348	-	B	0	100.0	72.8	46	176	-	P08754-P57771-EXP-2ode.pdb1-A-0-B-0.pdb
P08754	P81274	1	0	Structure	4g5s	1	A	0	99.7	89.8	32	349	-	E	0	100.0	3.2	596	617	-	P08754-P81274-EXP-4g5s.pdb1-A-0-E-0.pdb
P08754	Q8IVA1	1	0	Dom_dom_model	4g5s	-	B	-	93.1	87.9	33	343	G-alpha	F	-	45.0	14.7	65	84	GoLoco	P08754-Q8IVA1-MDD-G-alpha-GoLoco-4g5s-B-32-343-F-589-609.pdb
P08754	Q9NPQ8	1	0	Model	6tyl	1	B	0	95.9	48.3	184	354	-	A	0	85.6	92.7	1	492	-	P08754-Q9NPQ8-MDL-6tyl.pdb1-B-0-A-0.pdb
P08754	Q9UGC6	1	0	Model	1agr	1	A	0	94.0	98.9	5	354	-	E	0	41.3	57.6	76	196	-	P08754-Q9UGC6-MDL-1agr.pdb1-A-0-E-0.pdb
P08754	Q9Y4H4	1	0	Dom_dom_model	4g5r	-	A	-	93.7	87.9	33	343	G-alpha	E	-	40.9	12.5	134	154	GoLoco	P08754-Q9Y4H4-MDD-G-alpha-GoLoco-4g5r-A-32-343-E-623-643.pdb
P08758	P08758	1	0	Structure	1avh	4	B	1	100.0	99.4	3	320	-	A	0	100.0	99.4	3	320	-	P08758-P08758-EXP-1avh.pdb4-B-1-A-0.pdb
P08779	P12035	1	0	Model	6jfv	2	C	0	88.2	19.7	331	423	-	D	0	79.6	15.6	411	508	-	P08779-P12035-MDL-6jfv.pdb2-C-0-D-0.pdb
P08779	P13647	1	0	Model	6jfv	2	C	0	88.2	19.7	331	423	-	D	0	100.0	16.6	379	476	-	P08779-P13647-MDL-6jfv.pdb2-C-0-D-0.pdb
P08779	P19013	1	0	Model	6jfv	2	C	0	88.2	19.7	331	423	-	D	0	74.5	18.8	348	445	-	P08779-P19013-MDL-6jfv.pdb2-C-0-D-0.pdb
P08779	P35908	1	0	Model	6jfv	2	C	0	88.2	19.7	331	423	-	D	0	78.6	15.3	389	486	-	P08779-P35908-MDL-6jfv.pdb2-C-0-D-0.pdb
P08779	P41219	1	0	Model	6jfv	2	C	0	88.2	19.7	331	423	-	D	0	46.9	20.9	305	402	-	P08779-P41219-MDL-6jfv.pdb2-C-0-D-0.pdb
P08779	P48668	1	0	Model	6jfv	2	C	0	88.2	19.7	331	423	-	D	0	84.7	17.4	374	471	-	P08779-P48668-MDL-6jfv.pdb2-C-0-D-0.pdb
P08779	P78385	1	0	Model	6jfv	2	C	0	88.2	19.7	331	423	-	D	0	70.4	19.9	320	417	-	P08779-P78385-MDL-6jfv.pdb2-C-0-D-0.pdb
P08779	P78386	1	0	Model	6jfv	2	C	0	88.2	19.7	331	423	-	D	0	73.5	19.3	332	429	-	P08779-P78386-MDL-6jfv.pdb2-C-0-D-0.pdb
P08779	Q01546	1	0	Model	6jfv	2	C	0	88.2	19.7	331	423	-	D	0	81.6	15.4	394	491	-	P08779-Q01546-MDL-6jfv.pdb2-C-0-D-0.pdb
P08779	Q14533	1	0	Model	6jfv	2	C	0	88.2	19.7	331	423	-	D	0	70.4	19.4	315	412	-	P08779-Q14533-MDL-6jfv.pdb2-C-0-D-0.pdb
P08779	Q14CN4	1	0	Model	6jfv	2	C	0	88.2	19.7	331	423	-	D	0	73.2	19.0	336	432	-	P08779-Q14CN4-MDL-6jfv.pdb2-C-0-D-0.pdb
P08779	Q3SY84	1	0	Model	6jfv	2	C	0	88.2	19.7	331	423	-	D	0	73.2	18.5	341	437	-	P08779-Q3SY84-MDL-6jfv.pdb2-C-0-D-0.pdb
P08779	Q5XKE5	1	0	Model	6jfv	2	C	0	88.2	19.7	331	423	-	D	0	71.1	18.1	355	451	-	P08779-Q5XKE5-MDL-6jfv.pdb2-C-0-D-0.pdb
P08779	Q6KB66	1	0	Model	6jfv	2	C	0	88.2	19.7	331	423	-	D	0	61.2	21.7	292	389	-	P08779-Q6KB66-MDL-6jfv.pdb2-C-0-D-0.pdb
P08779	Q7RTS7	1	0	Model	6jfv	2	C	0	88.2	19.7	331	423	-	D	0	69.4	18.5	351	448	-	P08779-Q7RTS7-MDL-6jfv.pdb2-C-0-D-0.pdb
P08779	Q86Y46	1	0	Model	6jfv	2	C	0	88.2	19.7	331	423	-	D	0	73.5	18.1	343	440	-	P08779-Q86Y46-MDL-6jfv.pdb2-C-0-D-0.pdb
P08779	Q8N1N4	1	0	Model	6jfv	2	C	0	88.2	19.7	331	423	-	D	0	65.3	18.8	322	419	-	P08779-Q8N1N4-MDL-6jfv.pdb2-C-0-D-0.pdb
P08833	P22692	1	0	Structure	2dsq	1	G	0	88.0	32.0	174	256	-	B	0	100.0	33.7	24	110	-	P08833-P22692-EXP-2dsq.pdb1-G-0-B-0.pdb
P08833	Q9NP10	1	0	Structure	2dsq	1	G	0	88.0	32.0	174	256	-	I	0	77.8	48.5	27	89	-	P08833-Q9NP10-EXP-2dsq.pdb1-G-0-I-0.pdb
P08842	P08842	1	0	Structure	1p49	2	A	0	99.1	94.9	23	575	-	A	1	99.1	94.9	23	575	-	P08842-P08842-EXP-1p49.pdb2-A-0-A-1.pdb
P08865	P15880	1	0	Structure	6g5i	1	A	0	100.0	73.2	2	217	-	C	0	100.0	74.4	59	276	-	P08865-P15880-EXP-6g5i.pdb1-A-0-C-0.pdb
P08865	P63220	1	0	Structure	6g5i	1	A	0	100.0	73.2	2	217	-	V	0	100.0	98.8	1	82	-	P08865-P63220-EXP-6g5i.pdb1-A-0-V-0.pdb
P08865	Q9ULX3	1	0	Structure	6g5i	1	A	0	100.0	73.2	2	217	-	y	0	78.1	98.5	7	412	-	P08865-Q9ULX3-EXP-6g5i.pdb1-A-0-y-0.pdb
P08887	P08887	1	0	Structure	1n26	1	A	0	100.0	63.9	20	318	-	A	1	100.0	63.9	20	318	-	P08887-P08887-EXP-1n26.pdb1-A-0-A-1.pdb
P08887	P40189	1	0	Structure	1p9m	1	C	0	100.0	42.9	115	315	-	A	0	100.0	32.5	24	321	-	P08887-P40189-EXP-1p9m.pdb1-C-0-A-0.pdb
P08908	P28223	1	0	Model	2vt4	1	A	0	31.3	89.1	40	415	-	B	0	32.4	67.1	78	393	-	P08908-P28223-MDL-2vt4.pdb1-A-0-B-0.pdb
P08908	P47211	1	0	Dom_dom_model	4u15	-	B	-	23.0	60.7	53	400	7tm_1	A	-	21.9	71.3	50	303	7tm_1	P08908-P47211-MDD-7tm_1-7tm_1-4u15-B-84-543-A-84-543.pdb
P08912	P08912	1	0	Model	4daj	6	D	0	50.8	91.0	28	511	-	C	0	50.4	90.4	27	507	-	P08912-P08912-MDL-4daj.pdb6-D-0-C-0.pdb
P08912	P20309	1	0	Model	4u15	3	B	0	51.3	91.0	27	510	-	A	0	60.0	83.9	64	558	-	P08912-P20309-MDL-4u15.pdb3-B-0-A-0.pdb
P08913	P08913	1	0	Model	6kuw	1	B	0	48.3	89.0	43	456	-	A	0	48.5	89.5	43	458	-	P08913-P08913-MDL-6kuw.pdb1-B-0-A-0.pdb
P08913	P18825	1	0	Model	6kuw	1	A	0	48.5	89.5	43	458	-	B	0	63.4	89.4	41	453	-	P08913-P18825-MDL-6kuw.pdb1-A-0-B-0.pdb
P08922	P08922	1	0	Structure	4uxl	1	A	0	97.3	12.7	1934	2230	-	A	1	97.3	12.7	1934	2230	-	P08922-P08922-EXP-4uxl.pdb1-A-0-A-1.pdb
P09001	P49406	1	0	Structure	5oom	1	E	0	93.8	87.4	45	348	-	Q	0	100.0	74.3	74	290	-	P09001-P49406-EXP-5oom.pdb1-E-0-Q-0.pdb
P09001	Q9BYC8	1	0	Structure	5oom	1	E	0	93.8	87.4	45	348	-	0	0	100.0	57.4	79	186	-	P09001-Q9BYC8-EXP-5oom.pdb1-E-0-0-0.pdb
P09001	Q9BYD1	1	0	Structure	5oom	1	E	0	93.8	87.4	45	348	-	K	0	100.0	99.4	2	178	-	P09001-Q9BYD1-EXP-5oom.pdb1-E-0-K-0.pdb
P09001	Q9NRX2	1	0	Structure	5oom	1	E	0	93.8	87.4	45	348	-	O	0	100.0	86.9	9	160	-	P09001-Q9NRX2-EXP-5oom.pdb1-E-0-O-0.pdb
P09001	Q9NYK5	1	0	Structure	5oom	1	E	0	93.8	87.4	45	348	-	7	0	100.0	84.9	36	322	-	P09001-Q9NYK5-EXP-5oom.pdb1-E-0-7-0.pdb
P09012	P09012	1	0	Structure	1nu4	4	B	0	97.8	33.0	6	98	-	B	1	97.8	33.0	6	98	-	P09012-P09012-EXP-1nu4.pdb4-B-0-B-1.pdb
P09012	P09661	1	0	Model	6f4j	1	C	0	81.3	32.3	8	98	-	A	0	61.1	68.6	1	175	-	P09012-P09661-MDL-6f4j.pdb1-C-0-A-0.pdb
P09012	P0DJD3	1	0	Dom_dom_model	6nty	-	B	-	14.9	22.0	211	272	RRM_1	A	-	36.8	13.5	11	77	RRM_1	P09012-P0DJD3-MDD-RRM_1-RRM_1-6nty-B-23-92-A-23-92.pdb
P09012	P26368	1	0	Dom_dom_model	6nx5	-	B	-	25.0	21.3	210	269	RRM_1	A	-	15.4	13.5	261	325	RRM_1	P09012-P26368-MDD-RRM_1-RRM_1-6nx5-B-2-65-A-2-65.pdb
P09012	P26599	1	0	Dom_dom_model	6nx5	-	A	-	25.0	21.3	210	269	RRM_1	B	-	21.9	11.5	186	246	RRM_1	P09012-P26599-MDD-RRM_1-RRM_1-6nx5-A-2-65-B-2-65.pdb
P09012	P31483	1	0	Dom_dom_model	6nx5	-	A	-	25.0	21.3	210	269	RRM_1	B	-	16.9	16.6	108	172	RRM_1	P09012-P31483-MDD-RRM_1-RRM_1-6nx5-A-2-65-B-2-65.pdb
P09012	P38159	1	0	Dom_dom_model	6nty	-	B	-	14.9	22.0	211	272	RRM_1	A	-	41.2	17.1	11	78	RRM_1	P09012-P38159-MDD-RRM_1-RRM_1-6nty-B-23-92-A-23-92.pdb
P09012	P57052	1	0	Dom_dom_model	6nx5	-	B	-	25.0	21.3	210	269	RRM_1	A	-	17.2	22.8	12	75	RRM_1	P09012-P57052-MDD-RRM_1-RRM_1-6nx5-B-2-65-A-2-65.pdb
P09012	P98179	1	0	Dom_dom_model	6nty	-	B	-	14.9	22.0	211	272	RRM_1	A	-	41.2	42.7	9	76	RRM_1	P09012-P98179-MDD-RRM_1-RRM_1-6nty-B-23-92-A-23-92.pdb
P09012	Q01085	1	0	Dom_dom_model	6nty	-	B	-	14.9	22.0	211	272	RRM_1	A	-	26.5	17.9	100	167	RRM_1	P09012-Q01085-MDD-RRM_1-RRM_1-6nty-B-23-92-A-23-92.pdb
P09012	Q14011	1	0	Dom_dom_model	6nty	-	B	-	14.9	22.0	211	272	RRM_1	A	-	41.2	39.0	9	76	RRM_1	P09012-Q14011-MDD-RRM_1-RRM_1-6nty-B-23-92-A-23-92.pdb
P09012	Q15287	1	0	Dom_dom_model	6fqr	-	B	-	20.6	21.6	212	272	RRM_1	A	-	21.9	22.0	165	233	RRM_1	P09012-Q15287-MDD-RRM_1-RRM_1-6fqr-B-83-150-A-4-69.pdb
P09012	Q15415	1	0	Model	5fj4	1	B	0	97.9	34.4	6	102	-	A	0	31.7	15.7	10	87	-	P09012-Q15415-MDL-5fj4.pdb1-B-0-A-0.pdb
P09012	Q16206	1	0	Dom_dom_model	6nx5	-	B	-	25.0	21.3	210	269	RRM_1	A	-	15.6	9.3	130	186	RRM_1	P09012-Q16206-MDD-RRM_1-RRM_1-6nx5-B-2-65-A-2-65.pdb
P09012	Q6ZRY4	1	0	Dom_dom_model	6nx5	-	A	-	25.0	21.3	210	269	RRM_1	B	-	21.9	29.2	33	93	RRM_1	P09012-Q6ZRY4-MDD-RRM_1-RRM_1-6nx5-A-2-65-B-2-65.pdb
P09012	Q96EP5	1	0	Dom_dom_model	6nty	-	B	-	14.9	22.0	211	272	RRM_1	A	-	38.2	16.2	116	182	RRM_1	P09012-Q96EP5-MDD-RRM_1-RRM_1-6nty-B-23-92-A-23-92.pdb
P09012	Q9BQ04	1	0	Dom_dom_model	6nx5	-	A	-	25.0	21.3	210	269	RRM_1	B	-	26.6	15.9	4	60	RRM_1	P09012-Q9BQ04-MDD-RRM_1-RRM_1-6nx5-A-2-65-B-2-65.pdb
P09012	Q9BTD8	1	0	Dom_dom_model	6nty	-	B	-	14.9	22.0	211	272	RRM_1	A	-	29.4	14.0	384	451	RRM_1	P09012-Q9BTD8-MDD-RRM_1-RRM_1-6nty-B-23-92-A-23-92.pdb
P09012	Q9UKA9	1	0	Dom_dom_model	5wpa	-	A	-	21.4	22.3	210	272	RRM_1	B	-	21.1	12.2	340	405	RRM_1	P09012-Q9UKA9-MDD-RRM_1-RRM_1-5wpa-A-299-363-B-84-148.pdb
P09016	Q92826	1	0	Dom_dom_model	4zn8	-	A	-	34.8	18.0	159	204	Homeodomain	B	-	31.8	15.5	223	266	Homeodomain	P09016-Q92826-MDD-Homeodomain-Homeodomain-4zn8-A-1-50-B-2-50.pdb
P09016	Q9BYU1	1	0	Model	2r5z	1	A	0	69.0	34.1	128	214	-	B	0	88.1	15.8	214	272	-	P09016-Q9BYU1-MDL-2r5z.pdb1-A-0-B-0.pdb
P09038	P09038	1	0	Structure	5x1o	1	B	0	100.0	44.1	160	286	-	A	0	100.0	44.1	160	286	-	P09038-P09038-EXP-5x1o.pdb1-B-0-A-0.pdb
P09038	P11362	1	0	Structure	1cvs	2	B	1	98.4	44.8	158	286	-	C	0	99.5	25.7	149	359	-	P09038-P11362-EXP-1cvs.pdb2-B-1-C-0.pdb
P09038	P21802	1	0	Structure	1ev2	1	D	0	98.5	45.1	158	287	-	H	0	94.4	25.9	151	363	-	P09038-P21802-EXP-1ev2.pdb1-D-0-H-0.pdb
P09038	P22607	1	0	Model	1iil	3	C	0	98.5	45.8	157	288	-	G	0	76.7	26.1	150	359	-	P09038-P22607-MDL-1iil.pdb3-C-0-G-0.pdb
P09067	P40424	1	0	Model	2r5z	1	A	0	74.1	30.1	174	254	-	B	0	94.9	13.7	237	295	-	P09067-P40424-MDL-2r5z.pdb1-A-0-B-0.pdb
P09067	P40425	1	0	Model	2r5z	1	A	0	74.1	30.1	174	254	-	B	0	94.9	13.7	248	306	-	P09067-P40425-MDL-2r5z.pdb1-A-0-B-0.pdb
P09067	Q9BYU1	1	0	Model	2r5z	1	A	0	74.1	30.1	174	254	-	B	0	88.1	15.8	214	272	-	P09067-Q9BYU1-MDL-2r5z.pdb1-A-0-B-0.pdb
P09086	P35548	1	0	Dom_dom_model	3nau	-	A	-	26.0	10.4	305	354	Homeodomain	B	-	28.0	18.7	150	199	Homeodomain	P09086-P35548-MDD-Homeodomain-Homeodomain-3nau-A-446-496-B-446-496.pdb
P09104	P09104	1	0	Structure	2akz	1	B	0	100.0	99.5	2	433	-	A	0	100.0	99.8	2	434	-	P09104-P09104-EXP-2akz.pdb1-B-0-A-0.pdb
P09105	P68871	1	0	Model	1aj9	1	A	0	62.9	98.6	3	142	-	B	1	100.0	99.3	2	147	-	P09105-P68871-MDL-1aj9.pdb1-A-0-B-1.pdb
P09105	P69892	1	0	Model	1fdh	1	B	0	62.1	98.6	3	142	-	G	0	100.0	99.3	2	147	-	P09105-P69892-MDL-1fdh.pdb1-B-0-G-0.pdb
P09105	P69905	1	0	Model	1bab	1	A	0	62.0	100.0	1	142	-	C	0	99.3	100.0	1	142	-	P09105-P69905-MDL-1bab.pdb1-A-0-C-0.pdb
P09110	P09110	1	0	Structure	2iik	1	B	0	98.7	93.6	28	424	-	A	0	99.0	92.0	33	422	-	P09110-P09110-EXP-2iik.pdb1-B-0-A-0.pdb
P09132	P61011	1	0	Structure	1mfq	1	B	0	100.0	74.3	14	120	-	C	0	93.1	23.0	323	438	-	P09132-P61011-EXP-1mfq.pdb1-B-0-C-0.pdb
P09172	P09172	1	0	Structure	4zel	1	B	0	97.1	90.1	46	601	-	A	0	99.8	88.8	46	593	-	P09172-P09172-EXP-4zel.pdb1-B-0-A-0.pdb
